trip_distance,average_total_fare,number_of_trips
0,6.27,21
1,9.06,191
2,13.31,102
3,16.33,53
4,20.17,21
5,20.76,19
6,26.82,11
7,27.45,6
8,37.23,8
9,37.79,4
10,44.9,6
11,53.1,4
12,38.8,6
16,60.15,1
17,67.2,2
18,63.36,1
19,72.66,1
20,67.6,2
21,64.78,2
31,113.96,1
