borough,number_of_dropoffs,average_total_fare,average_trip_distance
Queens,619221,32.6,66.42
EWR,15960,91.86,17.31
Brooklyn,695804,30.37,49.13
Staten Island,2626,76.28,19.43
Manhattan,11729501,13.16,13.35
Bronx,71821,32.15,9.08
